score,fresh,session,zone_type,atr_ratio,is_accuracy,trend,rsi,htf_trend,rvol,adx,touch_count,base_quality,departure_strength,liquidity_distance,liquidity_spread,liquidity_distance_score,liquidity_spread_score,return_strength,outcome
95,9,0,0,0.38,1,1,56.83,1,0.0,25.18,1,100,43.89,0.6,1.8,98.8,1.8,50.0,0
95,26,2,1,0.78,0,0,41.86,1,0.0,21.63,1,100,39.28,1.4,5.0,97.2,5.0,26.67,1
90,10,2,0,0.92,0,1,57.8,1,0.0,17.19,1,100,49.44,0.5,3.6,99.0,3.6,47.78,0
95,26,2,0,0.52,0,1,45.84,0,0.0,18.89,1,0,35.26,2.3,3.3,95.4,3.3,43.59,1
75,83,2,0,0.5,1,1,73.9,0,0.0,26.84,1,100,45.96,0.8,4.3,98.4,4.3,50.0,0
75,12,0,0,1.14,1,0,56.7,0,0.0,31.2,1,0,19.91,0.2,2.5,99.6,2.5,53.92,1
75,288,1,1,1.64,1,1,69.93,0,0.0,18.54,1,100,49.76,1.1,8.3,97.8,8.3,100.0,1
95,8,2,1,1.36,0,0,44.88,0,0.0,16.7,1,100,38.27,0.6,5.9,98.8,5.9,100.0,0
90,82,1,0,0.52,0,0,24.25,1,0.0,33.35,1,100,46.59,0.4,1.6,99.2,1.6,100.0,0
95,51,2,1,0.92,0,0,55.56,1,0.0,16.68,1,0,29.19,1.9,8.8,96.2,8.8,25.6,1
80,30,2,1,1.25,1,1,59.5,1,0.0,21.73,1,0,32.29,0.6,1.3,98.8,1.3,69.73,0
95,19,0,1,0.34,1,0,48.27,1,0.0,14.15,1,100,55.49,1.4,2.6,97.2,2.6,47.92,0
95,16,1,0,0.75,0,1,54.62,1,0.0,7.37,1,0,31.0,0.2,4.3,99.6,4.3,30.42,1
80,6,2,1,0.45,1,1,67.33,1,0.0,41.47,1,0,31.28,0.1,1.8,99.8,1.8,36.67,0
90,5,2,0,0.7,0,1,64.89,1,0.0,22.96,1,100,55.19,0.8,2.6,98.4,2.6,100.0,0
90,14,1,1,0.68,0,0,50.6,1,0.0,23.74,1,0,50.0,1.6,3.9,96.8,3.9,41.67,0
90,13,0,1,0.88,0,0,47.02,0,0.0,23.59,1,100,59.87,1.2,3.3,97.6,3.3,46.43,0
95,20,2,1,0.64,1,0,59.84,0,0.0,22.3,1,100,42.95,2.6,7.0,94.8,7.0,52.41,1
